City_Name,Area_Name,Area_Type,Population,Industrial_Units,Commercial_Units,Waste_Source,Organic_Waste_kg,Plastic_Waste_kg,Metal_Waste_kg,Hazardous_Waste_kg,E_Waste_kg,Total_Waste_kg,Recycling_Rate_percent,Collection_Frequency_days,Air_Quality_Index,Waste_Category
Lucknow,Alambagh,Industrial,26723,96,330,Industrial,1119,315,1392,331,534,3691,29.25,1,118,Non-Biodegradable
Lucknow,Charbagh,Industrial,87366,144,491,Commercial,3832,2544,1860,779,2032,11047,35.01,2,134,Non-Biodegradable
Pune,Hinjewadi,Urban,171087,21,66,Commercial,4203,3032,290,188,316,8029,29.21,1,83,Mixed
Meerut,Ganga Nagar,Commercial,138810,66,378,Commercial,6856,4055,708,566,1155,13340,30.68,1,97,Mixed
Meerut,Partapur,Urban,56096,88,423,Industrial,2346,1463,864,539,1547,6759,56.29,2,143,Non-Biodegradable
Delhi,Dwarka,Industrial,62177,124,314,Residential,3084,1183,1614,1227,1502,8610,40.48,2,124,Mixed
Meerut,Ganga Nagar,Urban,153530,5,61,Commercial,5559,3432,27,44,79,9141,25.04,1,80,Biodegradable
Pune,Hinjewadi,Commercial,57009,51,477,Industrial,1503,822,331,328,1078,4062,44.46,2,128,Non-Biodegradable
Delhi,Okhla Industrial Area,Industrial,186280,107,450,Residential,4062,4909,1001,449,1161,11582,56.19,1,113,Non-Biodegradable
Mumbai,Powai,Industrial,39309,38,142,Commercial,1826,711,314,281,513,3645,33.6,3,74,Mixed
Pune,Shivajinagar,Urban,134405,107,185,Industrial,5677,1514,962,613,368,9134,22.8,1,136,Biodegradable
Meerut,Shastri Nagar,Semi-Urban,138559,99,428,Residential,4076,1518,820,620,519,7553,66.42,1,138,Mixed
Pune,Kothrud,Industrial,28938,43,46,Industrial,836,761,391,393,201,2582,36.59,1,83,Non-Biodegradable
Mumbai,Dadar,Semi-Urban,25128,147,333,Commercial,657,694,1420,1366,1523,5660,23.52,1,183,Non-Biodegradable
Mumbai,Dadar,Industrial,65165,60,212,Residential,2550,707,649,382,754,5042,75.28,2,107,Mixed
Meerut,Modipuram,Industrial,146477,107,399,Commercial,3628,2426,851,1066,412,8383,55.56,3,127,Mixed
Lucknow,Charbagh,Semi-Urban,161194,85,258,Residential,5018,4457,425,300,901,11101,24.2,3,105,Non-Biodegradable
Delhi,Dwarka,Urban,103283,137,411,Industrial,4356,2652,1467,927,1989,11391,50.44,1,137,Non-Biodegradable
Meerut,Ganga Nagar,Semi-Urban,162808,103,156,Commercial,6269,4663,1016,607,406,12961,56.79,3,148,Mixed
Pune,Hinjewadi,Semi-Urban,22732,134,250,Commercial,892,233,1677,855,392,4049,35.03,2,141,Non-Biodegradable
Lucknow,Indira Nagar,Semi-Urban,135455,45,152,Industrial,5726,1677,442,225,288,8358,60.65,1,121,Biodegradable
Mumbai,Bandra,Urban,190160,137,481,Commercial,5920,3945,1571,963,1898,14297,56.39,1,163,Non-Biodegradable
Lucknow,Alambagh,Commercial,34355,18,113,Residential,699,901,101,99,549,2349,58.66,3,98,Non-Biodegradable
Delhi,Okhla Industrial Area,Commercial,91965,10,399,Commercial,2602,1360,137,41,1975,6115,21.51,1,97,Non-Biodegradable
Pune,Shivajinagar,Urban,53435,111,167,Residential,1353,1396,1202,1092,326,5369,38.35,2,152,Non-Biodegradable
Mumbai,Andheri,Urban,104782,60,56,Commercial,2273,2787,897,237,261,6455,33.21,2,92,Non-Biodegradable
Lucknow,Alambagh,Semi-Urban,124367,6,224,Residential,6100,2740,88,47,745,9720,54.6,1,83,Biodegradable
Delhi,Rohini,Commercial,109577,126,252,Industrial,2561,3203,1311,1132,830,9037,41.71,2,168,Non-Biodegradable
Meerut,Modipuram,Urban,28786,81,442,Industrial,968,298,1204,498,696,3664,33.43,2,99,Non-Biodegradable
Delhi,Dwarka,Semi-Urban,179175,19,408,Commercial,6601,5315,282,58,1387,13643,42.48,2,64,Non-Biodegradable
Delhi,Saket,Industrial,73390,12,89,Commercial,2764,1222,129,46,198,4359,54.1,3,88,Biodegradable
Meerut,Shastri Nagar,Urban,84411,93,434,Residential,1951,999,822,639,2064,6475,35.53,3,145,Non-Biodegradable
Pune,Pimpri-Chinchwad,Urban,170023,100,293,Commercial,4231,3069,645,628,674,9247,54.56,2,144,Mixed
Lucknow,Gomti Nagar,Urban,106884,146,194,Residential,4387,1985,796,906,226,8300,70.94,1,167,Mixed
Mumbai,Bandra,Commercial,141483,149,318,Residential,6147,1985,1495,1023,842,11492,69.05,3,137,Mixed
Meerut,Shastri Nagar,Industrial,53314,23,292,Industrial,1220,664,326,93,1459,3762,53.45,3,84,Non-Biodegradable
Meerut,Modipuram,Urban,48863,27,386,Commercial,1945,1253,333,192,1613,5336,51.92,1,93,Non-Biodegradable
Delhi,Okhla Industrial Area,Commercial,131320,77,474,Commercial,3998,1372,667,366,1121,7524,23.69,1,97,Mixed
Delhi,Rohini,Commercial,113390,85,157,Industrial,5191,3317,1213,802,499,11022,64.49,2,121,Mixed
Mumbai,Powai,Industrial,35632,82,305,Commercial,897,607,754,737,1209,4204,66.45,2,122,Non-Biodegradable
